<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.07	01:00:00	3008.13	3024.33	3008.01	3017.93	126	0	50
2025.04.07	01:01:00	3032.73	3036.38	3021.11	3022.28	193	0	50
2025.04.07	01:02:00	3022.15	3029.54	3022.12	3029.04	161	0	13
2025.04.07	01:03:00	3029.04	3031.92	3027.04	3031.75	188	0	0
2025.04.07	01:04:00	3031.75	3032.30	3029.23	3029.63	137	0	13
2025.04.07	01:05:00	3029.63	3029.63	3015.26	3016.70	48	0	50
2025.04.07	01:06:00	2999.37	3016.70	2973.05	3006.89	34	0	24
2025.04.07	01:07:00	3003.74	3019.95	2996.26	3018.88	31	0	50
2025.04.07	01:08:00	3018.88	3024.81	3009.87	3015.52	133	0	50
2025.04.07	01:09:00	3016.27	3016.97	3011.60	3013.69	35	0	112
2025.04.07	01:10:00	3014.30	3019.21	3014.30	3019.21	42	0	134
2025.04.07	01:11:00	3022.01	3023.66	3020.79	3022.92	45	0	5
2025.04.07	01:12:00	3022.83	3027.31	3020.79	3026.16	29	0	19
2025.04.07	01:13:00	3026.30	3028.96	3026.30	3028.44	76	0	35
2025.04.07	01:14:00	3028.28	3032.16	3027.98	3031.91	96	0	25
2025.04.07	01:15:00	3031.77	3031.83	3025.55	3027.52	68	0	18
2025.04.07	01:16:00	3027.54	3028.53	3025.44	3025.64	82	0	60
2025.04.07	01:17:00	3025.69	3026.61	3019.18	3019.73	99	0	41
2025.04.07	01:18:00	3019.67	3022.31	3019.03	3021.50	91	0	60
2025.04.07	01:19:00	3021.38	3022.44	3019.88	3020.54	73	0	43
2025.04.07	01:20:00	3020.57	3022.54	3018.11	3018.11	86	0	109
2025.04.07	01:21:00	3018.11	3018.21	3013.73	3014.04	82	0	54
2025.04.07	01:22:00	3014.06	3014.06	3000.79	3005.44	72	0	84
2025.04.07	01:23:00	3005.44	3013.74	3005.44	3013.74	34	0	74
2025.04.07	01:24:00	3013.74	3015.14	3011.54	3011.54	31	0	93
2025.04.07	01:25:00	3011.54	3016.66	3011.54	3015.84	22	0	123
2025.04.07	01:26:00	3015.04	3016.34	3012.04	3016.24	18	0	144
2025.04.07	01:27:00	3013.90	3015.54	3013.67	3014.76	25	0	93
2025.04.07	01:28:00	3015.04	3015.99	3014.19	3014.19	22	0	118
2025.04.07	01:29:00	3014.26	3014.79	3012.75	3014.69	31	0	128
2025.04.07	01:30:00	3014.11	3015.99	3006.86	3008.92	63	0	81
2025.04.07	01:31:00	3008.86	3012.30	3008.86	3010.08	48	0	119
2025.04.07	01:32:00	3009.81	3010.91	3009.32	3010.10	23	0	156
2025.04.07	01:33:00	3010.09	3011.41	3010.09	3010.74	37	0	143
2025.04.07	01:34:00	3010.75	3012.50	3010.75	3012.39	26	0	159
2025.04.07	01:35:00	3011.88	3014.23	3011.77	3013.64	20	0	179
2025.04.07	01:36:00	3013.90	3017.21	3013.90	3016.90	33	0	64
2025.04.07	01:37:00	3016.83	3016.83	3012.86	3013.82	31	0	63
