Date,Open,High,Low,Close,Change(Pips),Change(%),
03/18/2025 00:00,2999.63,3000.72,2999.63,3000.41,78,0.03,
03/17/2025 23:59,2999.9,2999.9,2999.39,2999.66,-24,-0.01,
03/17/2025 23:58,3000.17,3000.25,2999.93,2999.99,-18,-0.01,
03/17/2025 23:57,3000.29,3000.53,3000.17,3000.17,-12,0.00,
03/17/2025 23:56,3000.7,3000.7,3000.25,3000.49,-21,-0.01,
03/17/2025 23:55,3000.85,3000.99,3000.52,3000.63,-22,-0.01,
03/17/2025 23:54,3001.28,3001.3,3000.92,3000.95,-33,-0.01,
03/17/2025 23:53,3001.64,3001.65,3001.18,3001.31,-33,-0.01,
03/17/2025 23:52,3001.47,3001.64,3001.27,3001.58,11,0.00,
03/17/2025 23:51,3001.64,3001.67,3001.42,3001.48,-16,-0.01,
03/17/2025 23:50,3001.85,3001.86,3001.42,3001.54,-31,-0.01,
03/17/2025 23:49,3001.81,3001.93,3001.64,3001.9,9,0.00,
03/17/2025 23:48,3001.89,3002.14,3001.83,3001.94,5,0.00,
03/17/2025 23:47,3001.93,3002.02,3001.69,3001.9,-3,0.00,
03/17/2025 23:46,3002.03,3002.05,3001.26,3001.91,-12,0.00,
03/17/2025 23:45,3002.2,3002.24,3001.66,3001.96,-24,-0.01,
03/17/2025 23:44,3002.11,3002.22,3002.05,3002.2,9,0.00,
03/17/2025 23:43,3002.11,3002.34,3002.06,3002.11,0,0.00,
03/17/2025 23:42,3002.34,3002.47,3002.08,3002.19,-15,0.00,
03/17/2025 23:41,3002.57,3002.59,3002.16,3002.34,-23,-0.01,
03/17/2025 23:40,3002.17,3002.78,3002.17,3002.54,37,0.01,
03/17/2025 23:39,3002.4,3002.44,3002.18,3002.19,-21,-0.01,
03/17/2025 23:38,3001.72,3002.35,3001.59,3002.35,63,0.02,
03/17/2025 23:37,3001.64,3001.75,3001.56,3001.72,8,0.00,
03/17/2025 23:36,3001.62,3001.76,3001.53,3001.56,-6,0.00,
03/17/2025 23:35,3001.73,3001.94,3001.6,3001.62,-11,0.00,
03/17/2025 23:34,3001.77,3001.93,3001.66,3001.71,-6,0.00,
03/17/2025 23:33,3001.57,3001.89,3001.57,3001.88,31,0.01,
03/17/2025 23:32,3001.4,3001.63,3001.4,3001.63,23,0.01,
03/17/2025 23:31,3001.61,3001.61,3001.22,3001.42,-19,-0.01,
03/17/2025 23:30,3001.47,3001.89,3001.47,3001.59,12,0.00,
03/17/2025 23:29,3001.7,3001.71,3001.42,3001.42,-28,-0.01,
03/17/2025 23:28,3001.92,3001.92,3001.73,3001.74,-18,-0.01,
03/17/2025 23:27,3002.23,3002.3,3001.78,3001.78,-45,-0.01,
03/17/2025 23:26,3002.18,3002.36,3002.18,3002.29,11,0.00,
03/17/2025 23:25,3002.12,3002.29,3002,3002.17,5,0.00,
03/17/2025 23:24,3002.22,3002.22,3001.86,3002.02,-20,-0.01,
03/17/2025 23:23,3002.2,3002.36,3002.14,3002.17,-3,0.00,
03/17/2025 23:22,3002.11,3002.28,3001.99,3002.22,11,0.00,
03/17/2025 23:21,3002.1,3002.19,3001.96,3002.1,0,0.00,
03/17/2025 23:20,3001.97,3002.11,3001.74,3002.09,12,0.00,
03/17/2025 23:19,3002.12,3002.26,3002.03,3002.09,-3,0.00,
03/17/2025 23:18,3001.85,3002.42,3001.83,3002.17,32,0.01,
03/17/2025 23:17,3001.24,3001.99,3001.19,3001.84,60,0.02,
03/17/2025 23:16,3000.9,3001.21,3000.9,3001.21,31,0.01,
03/17/2025 23:15,3001.06,3001.13,3000.82,3001,-6,0.00,
03/17/2025 23:14,3000.92,3001.21,3000.83,3000.88,-4,0.00,
03/17/2025 23:13,3000.94,3001.04,3000.85,3000.99,5,0.00,
03/17/2025 23:12,3000.94,3001.03,3000.78,3000.95,1,0.00,
03/17/2025 23:11,3001.01,3001.01,3000.79,3000.85,-16,-0.01,
03/17/2025 23:10,3001.07,3001.15,3000.9,3000.9,-17,-0.01,
03/17/2025 23:09,3001.12,3001.13,3000.88,3001.1,-2,0.00,
03/17/2025 23:08,3000.85,3001.19,3000.68,3001.13,28,0.01,
03/17/2025 23:07,3000.99,3001.12,3000.83,3000.89,-10,0.00,
03/17/2025 23:06,3001.06,3001.24,3000.8,3001.08,2,0.00,
03/17/2025 23:05,3000.7,3001.15,3000.67,3001.14,44,0.01,
03/17/2025 23:04,3000.55,3000.74,3000.39,3000.65,10,0.00,
03/17/2025 23:03,3000.22,3000.56,3000.22,3000.53,31,0.01,
03/17/2025 23:02,2999.96,3000.4,2999.96,3000.31,35,0.01,
03/17/2025 23:01,3000.2,3000.31,2999.84,2999.96,-24,-0.01,
03/17/2025 23:00,3000.1,3000.31,3000.04,3000.08,-2,0.00,
03/17/2025 22:59,3000.15,3000.18,2999.97,2999.97,-18,-0.01,
03/17/2025 22:58,3000.08,3000.26,3000.03,3000.21,13,0.00,
03/17/2025 22:57,3000.16,3000.18,2999.97,3000.03,-13,0.00,
03/17/2025 22:56,3000.19,3000.22,3000.11,3000.16,-3,0.00,
03/17/2025 22:55,3000.11,3000.16,3000.05,3000.14,3,0.00,
03/17/2025 22:54,2999.99,3000.12,2999.89,3000.09,10,0.00,
03/17/2025 22:53,3000.26,3000.26,3000.02,3000.07,-19,-0.01,
03/17/2025 22:52,3000.66,3000.66,3000.26,3000.26,-40,-0.01,
03/17/2025 22:51,3000.34,3000.66,3000.34,3000.66,32,0.01,
03/17/2025 22:50,3000.17,3000.38,3000.17,3000.29,12,0.00,
03/17/2025 22:49,3000.12,3000.24,3000.09,3000.15,3,0.00,
