Date,Open,High,Low,Close,Change(Pips),Change(%),
04/04/2025 00:00,3112.88,3114.25,3111.95,3114.13,125,0.04,
04/03/2025 23:55,3115.19,3115.19,3112.84,3112.86,-233,-0.07,
04/03/2025 23:50,3115.71,3116.34,3115.19,3115.41,-30,-0.01,
04/03/2025 23:45,3114.34,3115.98,3113.83,3115.71,137,0.04,
04/03/2025 23:40,3114.18,3114.74,3113.57,3114.32,14,0.00,
04/03/2025 23:35,3114.94,3115.3,3114.07,3114.34,-60,-0.02,
04/03/2025 23:30,3112.72,3115.23,3112.58,3115.02,230,0.07,
04/03/2025 23:25,3111.74,3113.03,3111.17,3112.71,97,0.03,
04/03/2025 23:20,3111.9,3112.06,3110.63,3111.69,-21,-0.01,
04/03/2025 23:15,3111.23,3112.02,3110.43,3111.98,75,0.02,
04/03/2025 23:10,3111.11,3111.79,3109.78,3111.22,11,0.00,
04/03/2025 23:05,3112.46,3112.84,3111.06,3111.09,-137,-0.04,
04/03/2025 23:00,3115.36,3115.41,3112.24,3112.52,-284,-0.09,
04/03/2025 22:55,3113.24,3116.11,3112.86,3115.37,213,0.07,
04/03/2025 22:50,3112.83,3113.3,3112.4,3113.24,41,0.01,
04/03/2025 22:45,3115.98,3115.98,3112.55,3112.94,-304,-0.10,
04/03/2025 22:40,3115.6,3116.19,3114.88,3115.99,39,0.01,
04/03/2025 22:35,3116.64,3116.71,3115.33,3115.6,-104,-0.03,
04/03/2025 22:30,3114.4,3116.72,3114.34,3116.63,223,0.07,
04/03/2025 22:25,3113.33,3114.51,3112.86,3114.37,104,0.03,
04/03/2025 22:20,3114.9,3114.92,3113.25,3113.36,-154,-0.05,
04/03/2025 22:15,3114.31,3114.97,3113.76,3114.91,60,0.02,
04/03/2025 22:10,3113.63,3114.77,3113.5,3114.32,69,0.02,
04/03/2025 22:05,3114.49,3114.75,3113.17,3113.56,-93,-0.03,
04/03/2025 22:00,3114.01,3115.05,3113.76,3114.51,50,0.02,
04/03/2025 20:55,3114.43,3114.7,3113.07,3114.27,-16,-0.01,
04/03/2025 20:50,3116.79,3116.97,3113.04,3114.34,-245,-0.08,
04/03/2025 20:45,3117.27,3119.22,3115.77,3116.69,-58,-0.02,
04/03/2025 20:40,3113.89,3117.84,3113.3,3117.27,338,0.11,
04/03/2025 20:35,3110.53,3114.06,3110.32,3113.87,334,0.11,
04/03/2025 20:30,3110.02,3111.24,3109.83,3110.49,47,0.02,
04/03/2025 20:25,3108.49,3110.88,3108.34,3110,151,0.05,
04/03/2025 20:20,3108.27,3108.99,3108.06,3108.5,23,0.01,
04/03/2025 20:15,3107.68,3108.79,3107.68,3108.32,64,0.02,
04/03/2025 20:10,3108.57,3108.78,3107.42,3107.72,-85,-0.03,
